SOPR,date,Active_MVRV,Price,buy_score,sell_score
0.9997351323,2020-05-27,0.952828745,9033.2229166667,0.0,0.15680020497801675
1.0002227676,2020-05-28,0.9831470159,9328.3841666667,0.0,0.15878541972364968
1.00296627,2020-05-29,0.9954779736,9448.5933333333,0.0,0.15983693507175012
1.0188969218,2020-05-30,1.0020377745,9516.3075,0.0,0.16178417495892394
1.0212729868,2020-05-31,1.0044782898,9544.9275,0.0,0.1621680896735914
1.0435240749,2020-06-01,1.0080698546,9592.5645833333,0.0,0.16453171165165298
1.0313295514,2020-06-02,1.0351673472,9862.7929166667,0.0,0.1650947189157884
1.055570387,2020-06-03,1.0023917168,9556.26875,0.0,0.16532397157150502
1.0088129644,2020-06-04,1.0168622011,9702.9016666667,0.0,0.16176489745719025
1.0148630649,2020-06-05,1.0202209691,9740.4054166667,0.0,0.16255988033587054
1.0445298226,2020-06-06,1.0088049844,9636.7483333333,0.0,0.16467516955443728
1.023735146,2020-06-07,1.0070608511,9625.2954166667,0.0,0.16256934319067107
1.0841182956,2020-06-08,1.0154595864,9723.6895833333,0.0,0.16889737279157674
1.0294597727,2020-06-09,1.014131024,9715.7733333333,0.0,0.16357040624851146
1.0203797603,2020-06-10,1.0207231649,9786.865,0.0,0.16312106742321475
1.0253889528,2020-06-11,1.0039259839,9627.9558333333,0.0,0.1625275185957525
1.029360396,2020-06-12,0.9813984795,9416.2670833333,0.0,0.1614680669023016
1.009988425,2020-06-13,0.9823573088,9429.5825,0.0,0.15967150336678226
1.0232190841,2020-06-14,0.9793969987,9405.5908333333,0.0,0.16075111677041248
1.0020044524,2020-06-15,0.9628504181,9246.10125,0.0,0.15765859601976687
1.0059352748,2020-06-16,0.9881937041,9497.1254166667,0.0,0.15965594566628905
1.0161818932,2020-06-17,0.9815615858,9437.0504166667,0.0,0.1602146117578359
1.1410767557,2020-06-18,0.9757693032,9405.7891666667,0.0,0.17182230788247646
1.0075414151,2020-06-19,0.9676884758,9327.8258333333,0.0,0.15849894724509192
1.0195616442,2020-06-20,0.965116871,9306.6054166667,0.0,0.15948732693124196
1.030338946,2020-06-21,0.9694472687,9352.6091666667,0.0,0.16079779452967569
1.0186607419,2020-06-22,0.9831177494,9492.6920833333,0.0,0.16055184146921986
1.0180228648,2020-06-23,0.9974715102,9638.6475,0.0,0.16140839701176507
1.0167527368,2020-06-24,0.9763918693,9431.5304166667,0.0,0.15993882422524286
1.0093603929,2020-06-25,0.956056844,9232.9766666667,0.0,0.15792970886072782
1.1332065852,2020-06-26,0.9480363551,9183.78625,0.0,0.169294368320822
1.0128590248,2020-06-27,0.9404645337,9110.2404166667,0.0,0.1572683251727724
0.9999749438,2020-06-28,0.9356559127,9064.6704166667,0.0,0.15572523104013153
1.0020515802,2020-06-29,0.9415985151,9124.5033333333,0.0,0.15630434072248095
1.0218907343,2020-06-30,0.9440244282,9152.81875,0.0,0.15836211845527876
1.0081793402,2020-07-01,0.948012423,9195.1429166667,0.0,0.15730210688473176
1.0064153958,2020-07-02,0.9451942436,9170.4204166667,0.0,0.15695275099341505
1.0114782942,2020-07-03,0.9373150182,9096.8741666667,0.0,0.1569345368665521
1.0070548974,2020-07-04,0.9372435029,9099.4975,0.0,0.15650573878376925
1.0009390943,2020-07-05,0.9336481401,9067.4558333333,0.0,0.15568932762622778
1.0002757754,2020-07-06,0.9488999576,9222.0395833333,0.0,0.15660086189440442
1.0086859858,2020-07-07,0.9533808606,9269.8220833333,0.0,0.15769393651958452
1.0672778936,2020-07-08,0.9603531363,9350.3004166667,0.0,0.16375897414919444
